MATCH;A;THETA;D
1;2.2030091;4.0572453;0.85668397
0;8.1593723;44.635223;1.5444121
0;4.2354851;76.159477;0.43959084
1;6.9569640;0.10057182;0.28433466
0;14.562045;2.3905516;0.28466994
0;9.8814259;61.378220;1.4168324
1;0.46724227;2.9724312;0.81395203
0;4.7286477;43.660957;0.87319684
1;3.0261965;2.2290812;2.4706645
0;6.3122873;44.017799;0.67103219
0;8.7784281;46.727543;1.1865563
0;9.6152143;54.700832;1.5852567
0;6.0607848;66.943634;1.6679243
1;0.21353546;6.1456404;1.1419331
1;2.1876254;4.9368138;0.92491984
1;2.8079917;13.491275;1.2924931
1;1.0458103;2.0608985;1.2420508
1;1.6543742;6.7578101;0.52793443
1;2.8700969;0.84110379;1.6284392
0;2.2644782;40.562710;5.4322438
1;2.5688322;4.2182474;2.0902996
1;6.6800160;21.602432;26.864607
0;19.494389;1.2777182;1.7627138
1;0.25604823;4.4606948;1.1778443
0;13.780309;0.62164193;1.3515803
1;1.8332160;10.349569;2.3233066
1;2.5893381;2.7471449;1.4944564
0;5.4844379;22.763273;0.94852537
1;0.97695619;1.0840174;1.5189784
1;2.8051009;7.1047225;0.66741562
0;9.6729717;50.299553;1.0605457
1;0.40236068;3.6646559;0.75157642
0;9.8977947;44.249313;1.6386563
1;6.4334016;14.974187;1.8702796
1;10.201275;7.1039343;1.9505326
0;9.4245272;46.223797;0.87642461
1;0.56798619;0.13462634;1.0217075
1;3.6574163;16.366360;1.1120831
0;10.735618;55.839497;2.4994967
1;0.52211249;0.18564823;2.5541077
1;1.4201014;0.76572764;1.7958841
1;0.51219541;19.822716;0.61771220
0;10.002813;14.839231;3.1343133
0;0.90920311;32.784302;1.3160716
0;22.154879;30.833744;1.6654359
1;0.80619127;0.042925611;2.5682731
0;17.407331;10.260656;1.1604748
1;3.3625586;4.6398368;3.2715170
0;2.9967213;20.854813;3.9264307
0;17.944403;8.6833153;3.6239691
0;3.7668393;61.854191;1.2295531
0;3.9869239;51.052643;0.24022844
1;1.6014370;4.4418778;1.7029709
1;2.6019123;5.5801134;1.2673843
0;5.3901200;9.2239618;3.2425873
0;6.2399187;35.499454;0.91449183
0;7.5677299;35.040878;0.62646538
1;2.9520187;29.638157;3.8280530
1;3.7559500;14.563665;4.1389632
1;6.3968773;26.633295;2.7571015
0;6.1984720;3.0533671;9.3025331
0;8.7593813;4.8401918;10.110968
0;7.9531393;0.073993020;1.1703054
0;10.048319;5.8947029;1.7758980
0;4.5962148;57.592884;0.75958687
1;1.4713304;2.7669058;0.68588954
0;7.8364282;44.984524;1.1690134
1;2.8461301;0.47478932;0.55280989
0;7.1346045;77.478325;0.91903692
1;0.53290975;10.657747;0.55174756
1;0.95347905;0.54654032;0.98124218
0;3.5739820;12.467690;1.5706908
0;5.1949520;4.0948324;1.9027318
0;4.3099985;20.866146;1.4065831
0;5.1073880;15.321256;1.8119040
0;4.7858038;41.156090;1.3561109
1;1.7532620;1.5439591;0.71947354
0;5.8636179;35.980160;1.1388898
1;2.3341742;16.636803;1.2536339
1;2.3017149;19.682896;1.3807267
1;0.90810764;2.7053142;0.49834433
1;5.4368634;14.362347;3.9953992
1;2.2463114;0.30500501;1.4495158
0;1.8142223;46.998116;5.3018107
1;1.5894035;2.9069483;1.1143613
1;2.5652714;20.319803;0.77232593
1;8.4478188;13.317906;0.59031552
0;6.0536509;5.1429520;0.56308913
1;1.2935373;6.6371822;0.16815023
0;9.6375971;40.196770;1.0832103
1;6.5028505;19.135712;1.4500333
0;10.287291;11.276200;1.4582416
1;1.5939885;4.7090688;0.83997685
1;0.32777527;11.146417;0.59957892
0;9.7394857;0.54192775;26.910353
1;3.3490877;17.767672;1.0525045
0;10.378622;58.505306;2.0714648
1;2.5900624;0.11322017;1.0499195
0;12.936740;21.743084;2.7531099
1;3.6171069;5.1348925;2.1607163
0;3.0760443;15.641428;2.4917250
0;13.149631;8.6704159;3.2956805
0;3.6489716;67.422768;1.3541409
0;4.2874303;44.363792;0.33086434
0;5.7941599;58.347515;0.60575414
0;4.2224860;21.821217;0.61923456
0;8.3491688;75.574722;0.77567279
0;6.1188555;34.933632;0.60478282
0;5.4428511;71.171852;0.98284823
0;7.9870710;83.389313;0.80398566
0;6.4337029;84.976089;0.83167911
1;2.7123396;11.471464;1.0257987
1;4.2941222;11.362056;1.3275374
0;3.8424087;18.521706;3.7509005
0;7.2954607;30.032814;1.1775028
0;8.7201548;57.987579;1.2514572
1;3.2626071;3.8543591;0.95529330
0;6.2129922;67.328735;7.7762218
1;5.1503205;1.6917390;1.6191632
